path,sha256,kind,api_version,namespace,name,parse_status,parse_error,spec_keys,test_nodes,risk_flags,shape_issues,placeholder_count
raw_yaml\AWSChaos\165179a7ea93b494b3503905.yaml,813921fbe67ec3132b736a77207c2305f841f5bf7bd16a09087a90b867611f86,AWSChaos,chaos-mesh.org/v1alpha1,chaos-testing,aws-ec2-stop,valid_map,,"[""action"", ""awsRegion"", ""duration"", ""ec2Instance"", ""endpoint"", ""secretName""]","[""awschaos""]","[""cloud_instance"", ""cloud_region"", ""external_endpoint"", ""placeholder"", ""secret_reference""]",[],2
raw_yaml\AWSChaos\3540a157f54bb4468cee6343.yaml,547162318c319d17e1fbe18674ea878fe7f8c221fad0433aeda84f6923d7e2d4,AWSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,aws-ec2-stop,valid_map,,"[""action"", ""awsRegion"", ""duration"", ""ec2Instance"", ""endpoint"", ""secretName""]","[""awschaos""]","[""cloud_instance"", ""cloud_region"", ""external_endpoint"", ""secret_reference""]",[],0
raw_yaml\AWSChaos\5968227d6601077b725f6213.yaml,03be0776619cd9247f8ba4251cde3afb9fa77e2af66a09a593cbb7aa259d467c,AWSChaos,chaos-mesh.org/v1alpha1,oscp-prod,oscp-ec2-chaos,valid_map,,"[""action"", ""awsRegion"", ""duration"", ""instanceSelection"", ""mode"", ""selector""]","[""awschaos"", ""selector""]","[""cloud_instance"", ""cloud_region""]",[],0
raw_yaml\AWSChaos\61f0c58f6dcaf26133202c2e.yaml,13754b4a46dfcb54a3d4b881ba1031dca54ee472cd13b6317ee4b3d47e824c20,AWSChaos,chaos-mesh.org/v1alpha1,default,,valid_map,,"[""action"", ""awsRegion"", ""duration"", ""ec2Instance"", ""secretName""]","[""awschaos""]","[""cloud_instance"", ""cloud_region"", ""placeholder"", ""secret_reference""]",[],3
raw_yaml\AWSChaos\8b037623994c7101db36e520.yaml,ef1c49a00eea3ecf889240508219b74eb7e0f2eaf088180205c90ecaad02b6b1,AWSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,ec2-restart,valid_map,,"[""action"", ""awsRegion"", ""ec2Instance""]","[""awschaos""]","[""cloud_instance"", ""cloud_region""]",[],0
raw_yaml\AWSChaos\935b26fa8bec7c95e71e5608.yaml,d43457148df240afedefe2c26ad43f318fd0570b1f0cfdf5b49722f1de6abb35,AWSChaos,chaos-mesh.org/v1alpha1,chaos-testing,ec2-stop,valid_map,,"[""action"", ""awsRegion"", ""duration"", ""ec2Instance"", ""scheduler"", ""secretName""]","[""awschaos""]","[""cloud_instance"", ""cloud_region"", ""secret_reference"", ""temporal_or_composite""]",[],0
raw_yaml\AWSChaos\e431d6f143b4acf22e9aba8d.yaml,614286815915acdc498f652fda434e79c22f41c2bb33b6e7f02809f4d266354a,AWSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,aws-ec2-stop,valid_map,,"[""action"", ""awsRegion"", ""duration"", ""ec2Instance"", ""endpoint"", ""secretName""]","[""awschaos""]","[""cloud_instance"", ""cloud_region"", ""external_endpoint"", ""placeholder"", ""secret_reference""]",[],2
raw_yaml\AWSChaos\fcd4f811adbf0c2a9a8b541e.yaml,9a0b141f5bbf41a79d5fde2f74ee518264579bfe02b59b94337933e20d2e711f,AWSChaos,chaos-mesh.org/v1alpha1,chaos-testing,aws-ec2-stop,valid_map,,"[""action"", ""awsRegion"", ""duration"", ""ec2Instance"", ""endpoint"", ""secretName""]","[""awschaos""]","[""cloud_instance"", ""cloud_region"", ""external_endpoint"", ""secret_reference""]",[],0
raw_yaml\AzureChaos\1a2ab02c9ce1c21bedb94d89.yaml,5f385f144f6c5bc818e3bd2a78b24b104845981fde1c97518ebf81367439f3e6,AzureChaos,chaos-mesh.org/v1alpha1,chaos-mesh,disk-detach-example,valid_map,,"[""action"", ""diskName"", ""duration"", ""lun"", ""resourceGroupName"", ""secretName"", ""subscriptionID"", ""vmName""]","[""azurechaos""]","[""secret_reference""]",[],0
raw_yaml\AzureChaos\55df049c48f6ebe46ebcc569.yaml,e8f03543e0583fb3964fcd2250bed402c66e79ff6f56205e5b2d6751acfa3b84,AzureChaos,chaos-mesh.org/v1alpha1,chaos-mesh,vm-restart-example,valid_map,,"[""action"", ""resourceGroupName"", ""secretName"", ""subscriptionID"", ""vmName""]","[""azurechaos""]","[""secret_reference""]",[],0
raw_yaml\AzureChaos\d2872a6f097695e9d8cc826e.yaml,496bbd2832589a3a522e65eaf6a213ed4fbca733e4c3955e284d7d9d8b9fb353,AzureChaos,chaos-mesh.org/v1alpha1,chaos-mesh,vm-stop-example,valid_map,,"[""action"", ""duration"", ""resourceGroupName"", ""secretName"", ""subscriptionID"", ""vmName""]","[""azurechaos""]","[""secret_reference""]",[],0
raw_yaml\BlockChaos\1d966ab92cb2f17f3ce22c52.yaml,6a6f1ef7b89ab992123bc2882f9157cfa1deb1958a0cf3244455d77d6c839bb2,BlockChaos,chaos-mesh.org/v1alpha1,,hostpath-example,valid_map,,"[""action"", ""delay"", ""mode"", ""selector"", ""volumeName""]","[""blockchaos"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\BlockChaos\4ccc175bc5c0e67278edf218.yaml,534cc4e9b973b38d018a41633b876fb5957c4f71e6b503c1b9438fe8f885687a,BlockChaos,chaos-mesh.org/v1alpha1,,hostpath-example-delay,valid_map,,"[""action"", ""delay"", ""mode"", ""selector"", ""volumeName""]","[""blockchaos"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\BlockChaos\59bb8310967d62899f9421df.yaml,9f78d60914a21686d2fdec65d908c5117c87dc332fdf331b302f064e73f3b5c7,BlockChaos,chaos-mesh.org/v1alpha1,chaos-mesh,{},valid_map,,"[""action"", ""delay"", ""mode"", ""selector"", ""volumeName""]","[""blockchaos"", ""selector""]","[""namespace_or_selector_blast_radius""]","[""metadata_name_not_string"", ""selector_label_value_not_string"", ""selector_namespaces_not_string_list"", ""spec_action_not_string""]",0
